,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
942,1.0,62.0,1,0
943,1.0,290.0,1,0
944,1.0,148.33,476,1
945,1.11,110.57,505,1
946,1.0,32.29,178,0
947,1.14,42.0,132,0
948,1.05,183.1,339,1
949,1.0,45.33,6,0
950,1.0,233.33,16,0
951,1.01,168.64,513,1
952,1.0,39.0,1,0
953,1.0,29.38,155,0
954,1.0,69.0,1,0
955,1.09,168.84,566,1
956,1.08,130.83,341,1
957,1.05,162.38,495,1
958,1.0,708.0,29,0
959,1.28,14.88,287,1
960,1.0,30.9,112,0
961,1.0,604.64,462,1
962,1.09,117.36,108,0
963,1.1,64.5,527,1
964,1.0,113.92,109,0
965,1.02,144.19,346,1
966,1.06,195.38,228,0
967,1.1,33.9,44,0
968,1.15,71.48,114,0
969,1.33,508.33,56,0
970,1.0,92.5,68,0
971,2.5,89.5,120,0
972,1.04,102.83,482,1
973,1.15,39.1,236,0
974,1.2,32.95,285,1
975,1.0,70.5,31,0
